Qty,Part Name,Price (CAD),Shipping,Link
1,M3 x 8 mm Machine Screw (Void),,,
2,M3 x 10 mm Machine Screw (Void),,,
5,M3 x 12 mm Machine Screw (Void),,,
8,M3 Machine Screw Nut (Void),,,
1,M3 Machine Screw Kit,$9.60,--,https://www.aliexpress.com/item/1005002109863123.html?spm=a2g0o.productlist.main.14.21bb7165nch3pm&algo_pvid=579b7ed3-ea50-462f-b26f-2d8d3579a5eb&algo_exp_id=579b7ed3-ea50-462f-b26f-2d8d3579a5eb-13&pdp_ext_f=%7B%22order%22%3A%223266%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%218.27%211.60%21%21%215.90%211.14%21%402101eede17767238954728070e67d0%2112000018775202477%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa124573a%3Bm03_new_user%3A-29895%3BpisId%3A5000000203549973&curPageLogUid=AVPscaQrK0lu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002109863123%7C_p_origin_prod%3A
12,M2.6 x 10mm Thread Forming,$3.66,--,https://www.aliexpress.com/item/1005008296487858.html?spm=a2g0o.productlist.main.10.3eae56nv56nvuk&algo_pvid=ce5acc3b-d6e0-4de4-b899-bcbf7f638f6e&algo_exp_id=ce5acc3b-d6e0-4de4-b899-bcbf7f638f6e-9&pdp_ext_f=%7B%22order%22%3A%224794%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.96%211.39%21%21%212.11%210.99%21%40210328db17767236794174963e3c07%2112000044531390861%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa124573a%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=paY90O6VAhlU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008296487858%7C_p_origin_prod%3A
27,M3 * 12mm Thread Forming,$3.08,$3.90,https://www.aliexpress.com/item/1005010449886696.html?spm=a2g0o.productlist.main.15.3eae56nv56nvuk&algo_pvid=ce5acc3b-d6e0-4de4-b899-bcbf7f638f6e&algo_exp_id=ce5acc3b-d6e0-4de4-b899-bcbf7f638f6e-14&pdp_ext_f=%7B%22order%22%3A%22567%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.57%210.94%21%21%217.65%214.59%21%40210328db17767236794174963e3c07%2112000052450400099%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa124573a%3Bm03_new_user%3A-29895&curPageLogUid=hdaSnPgN5pEB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010449886696%7C_p_origin_prod%3A
4,M3 * 17mm Thread Forming,$4.32,$3.90,https://www.aliexpress.com/item/1005010449886696.html?spm=a2g0o.productlist.main.15.3eae56nv56nvuk&algo_pvid=ce5acc3b-d6e0-4de4-b899-bcbf7f638f6e&algo_exp_id=ce5acc3b-d6e0-4de4-b899-bcbf7f638f6e-14&pdp_ext_f=%7B%22order%22%3A%22567%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.57%210.94%21%21%217.65%214.59%21%40210328db17767236794174963e3c07%2112000052450400099%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa124573a%3Bm03_new_user%3A-29895&curPageLogUid=hdaSnPgN5pEB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010449886696%7C_p_origin_prod%3A
1,Buck Converter 5A,$3.73,--,https://www.aliexpress.com/item/1005006139913551.html?algo_pvid=e2b7b212-3a14-4a04-b01f-8af07b55b433&algo_exp_id=e2b7b212-3a14-4a04-b01f-8af07b55b433-20&pdp_ext_f=%7B%22order%22%3A%22666%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.73%213.73%21%21%2118.16%2118.16%21%402101c59117766320986531964ee6d9%2112000035938723853%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29912%3Bd%3Ab879ef14%3Bm03_new_user%3A-29895&curPageLogUid=A9hs5zlVt0rK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006139913551%7C_p_origin_prod%3A#nav-description
3,MG996R Servo,$20.01,--,https://www.aliexpress.com/item/1005006319164742.html?spm=a2g0o.productlist.main.12.50aa4b8cB5ILpr&aem_p4p_detail=202604201403527364733228670290002527724&algo_pvid=48211ee3-f1c7-46b1-968c-dab26508a92a&algo_exp_id=48211ee3-f1c7-46b1-968c-dab26508a92a-11&pdp_ext_f=%7B%22order%22%3A%22277%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%216.67%216.67%21%21%2132.44%2132.44%21%402101ef5e17767190323302149ef06f%2112000036745588489%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa124573a%3Bm03_new_user%3A-29895&curPageLogUid=5URVzNdkgF8G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006319164742%7C_p_origin_prod%3A&search_p4p_id=202604201403527364733228670290002527724_4
3,10V 470uf Capacitor,$4.02,--,https://www.aliexpress.com/item/1005005920255833.html?algo_pvid=c31e4730-410f-4e63-b8b7-4990a8c49348&algo_exp_id=c31e4730-410f-4e63-b8b7-4990a8c49348-4&pdp_ext_f=%7B%22order%22%3A%22844%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.52%213.44%21%21%212.50%212.44%21%402101df0e17763031137274773e03d3%2112000034856618059%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29912%3Bd%3Ab879ef14%3Bm03_new_user%3A-29895&curPageLogUid=eVIktV37r9gq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005920255833%7C_p_origin_prod%3A
1,16V 1000uf Capacitor,$5.21,--,https://www.aliexpress.com/item/1005005920255833.html?algo_pvid=c31e4730-410f-4e63-b8b7-4990a8c49348&algo_exp_id=c31e4730-410f-4e63-b8b7-4990a8c49348-4&pdp_ext_f=%7B%22order%22%3A%22844%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.52%213.44%21%21%212.50%212.44%21%402101df0e17763031137274773e03d3%2112000034856618059%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29912%3Bd%3Ab879ef14%3Bm03_new_user%3A-29895&curPageLogUid=eVIktV37r9gq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005920255833%7C_p_origin_prod%3A
13,Pin Header 2.54 mm Pitch Vertical,$3.60,--,https://www.aliexpress.com/item/1005005241876888.html?algo_pvid=0c9743ef-347d-4d41-be69-9d11cda8b824&algo_exp_id=0c9743ef-347d-4d41-be69-9d11cda8b824-4&pdp_ext_f=%7B%22order%22%3A%221965%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.38%210.38%21%21%210.27%210.27%21%402101e81117765254836698338ea69b%2112000032334538027%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29912%3Bd%3Ab879ef14%3Bm03_new_user%3A-29895&curPageLogUid=Aj35UNej6cp6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005241876888%7C_p_origin_prod%3A
2,Pin Header 2.0 mm Pitch Vertical,$0.75,$7.59,https://www.aliexpress.com/item/1005009312765794.html?spm=a2g0o.productlist.main.1.33d566326ezldM&algo_pvid=289089aa-9a6b-4a2c-98b1-a3c5ba40034f&algo_exp_id=289089aa-9a6b-4a2c-98b1-a3c5ba40034f-0&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.75%210.71%21%21%213.67%213.49%21%402101d49617767193351852642ea691%2112000048711081666%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa124573a%3Bm03_new_user%3A-29895&curPageLogUid=4RsGl9YfAJN6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009312765794%7C_p_origin_prod%3A
